TotalSalesValue,AllocatedValue,Status,QtyAllocated,xLineNumber,InvoiceDate,SalesQuantity,SalesQtyAllocated,InvoiceNo,ItemNumber,ItemDescription,DutyFreePaid,pCNumber,pRegistrationDate,pQuantity,pQtyAllocated,PiQuantity,xCNumber,xRegistrationDate,pLineNumber,SalesCost,Total_CIF_itm,DutyLiability,TaxAmount,pIsAssessed,DoNotAllocateSales,DoNotAllocatePreviousEntry,SANumber,pReferenceNumber,xReferenceNumber,TariffCode,Invalid,pExpiryDate
"-34.3600006103516","-34.3600006103516","No Asycuda Entries Found","-1",,"9/3/2018 12:00:00 AM","-1","0","GB00043354","FAA/SRTH34X10","Threaded Rod, SS 3/4-10 L:3' UNC","Duty Free",,,,,,,,,"34.3600006103516",,,"0",,,,"3",,,,,
"107.98999786377","107.98999786377","Over Allocated Entry by 1","1",,"9/4/2018 12:00:00 AM","1","0","GB00043359","CB/BM40X55","Cutlass-Bearing, 40 x 55 x 160mm Brs","Duty Free","37706","10/5/2018 12:00:00 AM",,"0",,,,"44","107.98999786377","215.979995727539","46.76","0","True",,,"1","OPS-2018-08-31-F5",,"84839029","False","10/4/2020 12:00:00 AM"
"107.98999786377","107.98999786377","Over Allocated Entry by 1","1",,"9/4/2018 12:00:00 AM","1","0","GB00043359","CB/BM40X55","Cutlass-Bearing, 40 x 55 x 160mm Brs","Duty Free","37706","10/5/2018 12:00:00 AM",,"0",,,,"44","107.98999786377","215.979995727539","46.76","0","True",,,"2","OPS-2018-08-31-F5",,"84839029","False","10/4/2020 12:00:00 AM"
"0.560000002384186","0.560000002384186","No Asycuda Entries Found","1",,"9/4/2018 12:00:00 AM","1","0","GB00043360","8BM/PM-PAINTSTICK","Paint-Stick, 12"" Wood Labelled Budget Ma","Duty Free",,,,,,,,,"0.560000002384186",,,"0",,,,"1",,,,,
"2.61999988555908","2.61999988555908","No Asycuda Entries Found","1",,"9/4/2018 12:00:00 AM","1","0","GB00043362","8BM/MK-BAG-REUSE60","Carrier Bag Reusable PP Woven 600mm x 55","Duty Free",,,,,,,,,"2.61999988555908",,,"0",,,,"7",,,,,
"-634.760009765625","-634.760009765625","Returned More than Sold","-1",,"9/4/2018 12:00:00 AM","-1","0","GB00043365","LFL/GPL-31T","Battery, DeepCycle AGM 12V MCA:750 105Ah","Duty Free",,,,,,,,,"634.760009765625",,,"0",,,,"1",,,,,
"-634.760009765625","-634.760009765625","Returned More than Sold","-1",,"9/4/2018 12:00:00 AM","-1","0","GB00043365","LFL/GPL-31T","Battery, DeepCycle AGM 12V MCA:750 105Ah","Duty Free",,,,,,,,,"634.760009765625",,,"0",,,,"2",,,,,
"-634.760009765625","-634.760009765625","Returned More than Sold","-1",,"9/4/2018 12:00:00 AM","-1","0","GB00043365","LFL/GPL-31T","Battery, DeepCycle AGM 12V MCA:750 105Ah","Duty Free",,,,,,,,,"634.760009765625",,,"0",,,,"3",,,,,
"-634.760009765625","-634.760009765625","Returned More than Sold","-1",,"9/4/2018 12:00:00 AM","-1","0","GB00043365","LFL/GPL-31T","Battery, DeepCycle AGM 12V MCA:750 105Ah","Duty Free",,,,,,,,,"634.760009765625",,,"0",,,,"4",,,,,
"634.760009765625","634.760009765625","Over Allocated Entry by 1","1",,"9/4/2018 12:00:00 AM","1","0","GB00043365","LFL/GPL-31T","Battery, DeepCycle AGM 12V MCA:750 105Ah","Duty Free","37740","10/5/2018 12:00:00 AM","1","1",,,,"19","634.760009765625","634.760009765625","246.92","0","True",,,"6","OPS-2018-08-31-F13",,"85061000","False","10/4/2020 12:00:00 AM"
"634.760009765625","634.760009765625","Over Allocated Entry by 1","1",,"9/4/2018 12:00:00 AM","1","0","GB00043365","LFL/GPL-31T","Battery, DeepCycle AGM 12V MCA:750 105Ah","Duty Free","37740","10/5/2018 12:00:00 AM","1","1",,,,"19","634.760009765625","634.760009765625","246.92","0","True",,,"7","OPS-2018-08-31-F13",,"85061000","False","10/4/2020 12:00:00 AM"
"634.760009765625","634.760009765625","Over Allocated Entry by 1","1",,"9/4/2018 12:00:00 AM","1","0","GB00043365","LFL/GPL-31T","Battery, DeepCycle AGM 12V MCA:750 105Ah","Duty Free","37740","10/5/2018 12:00:00 AM","1","1",,,,"19","634.760009765625","634.760009765625","246.92","0","True",,,"8","OPS-2018-08-31-F13",,"85061000","False","10/4/2020 12:00:00 AM"
